Obs inc Pred 
1 0 0.00000 
2 0 0.00000 
3 0 0.00000 
4 0 0.00000 
5 0 0.00000 
6 0 0.00000 
7 0 0.00000 
8 0 0.00000 
9 0 0.00000 
10 0 0.00000 
11 0 0.00000 
12 0 0.00000 
13 0 0.00000 
14 0 0.00000 
15 0 0.00000 
16 0 0.00000 
17 0 0.00000 
18 0 0.00000 
19 0 0.00000 
20 0 0.00000 
21 0 0.00000 
22 0 0.00000 
23 0 0.00000 
24 0 0.00000 
25 0 0.00000 
26 0 0.00000 
27 0 0.00000 
28 0 0.00000 
29 0 0.00000 
30 0 0.00000 
31 0 0.00000 
32 0 0.00000 
33 0 0.00000 
34 0 0.00000 
35 0 0.00000 
36 0 0.00000 
37 0 0.00000 
38 0 0.00000 
39 0 0.00000 
40 0 0.00000 
41 0 0.00000 
42 0 0.00000 
43 0 0.00000 
44 0 0.00000 
45 0 0.00000 
46 0 0.00000 
47 0 0.00000 
48 0 0.00000 
49 0 0.00000 
50 0 0.00000 
51 0 0.00000 
52 0 0.00000 
53 0 0.00000 
54 0 0.00000 
55 0 0.00000 
56 0 0.00000 
57 0 0.00000 
58 0 0.00000 
59 0 0.00000 
60 0 0.00000 
61 0 0.00000 
62 0 0.00000 
63 0 0.00000 
64 0 0.00000 
65 0 0.00000 
66 0 0.00000 
67 0 0.00000 
68 0 0.00000 
69 0 0.00000 
70 0 0.00000 
71 0 0.00000 
72 0 0.00000 
73 0 0.00000 
74 0 0.00000 
75 0 0.00000 
76 0 0.00000 
77 0 0.00000 
78 0 0.00000 
79 0 0.00000 
80 0 0.00000 
81 0 0.00000 
82 0 0.00000 
83 0 0.00000 
84 0 0.00000 
85 0 0.00000 
86 0 0.00000 
87 0 0.00000 
88 0 0.00000 
89 0 0.00000 
90 0 0.00000 
91 0 0.00741 
92 0 0.00767 
93 0 0.00804 
94 0 0.00843 
95 0 0.00891 
96 0 0.00947 
97 0 0.00980 
98 0 0.01027 
99 0 0.01078 
100 0 0.00893 
101 0 0.00923 
102 0 0.00968 
103 0 0.01016 
104 0 0.01073 
105 0 0.01140 
106 0 0.01180 
107 0 0.01237 
108 0 0.01298 
109 0 0.01092 
110 0 0.01130 
111 0 0.01185 
112 0 0.01242 
113 0 0.01312 
114 0 0.01395 
115 0 0.01443 
116 0 0.01513 
117 0 0.01587 
118 0 0.00741 
119 0 0.00767 
120 0 0.00804 
121 0 0.00843 
122 0 0.00891 
123 0 0.00947 
124 0 0.00980 
125 0 0.01027 
126 0 0.01078 
127 0 0.01029 
128 0 0.01064 
129 0 0.01116 
130 0 0.01171 
131 0 0.01236 
132 0 0.01314 
133 0 0.01359 
134 0 0.01426 
135 0 0.01495 
136 0 0.00962 
137 0 0.00996 
138 0 0.01044 
139 0 0.01095 
140 0 0.01156 
141 0 0.01229 
142 0 0.01272 
143 0 0.01334 
144 0 0.01399 
145 1 0.74569 
146 1 0.77149 
147 1 0.80912 
148 1 0.84858 
149 1 0.89604 
150 1 0.95262 
151 1 0.98558 
152 1 1.03366 
153 1 1.08407 
154 0 0.01319 
155 0 0.01365 
156 0 0.01432 
157 0 0.01501 
158 0 0.01585 
159 0 0.01685 
160 0 0.01744 
161 0 0.01829 
162 0 0.01918 
163 0 0.01421 
164 0 0.01470 
165 0 0.01541 
166 0 0.01617 
167 0 0.01707 
168 0 0.01815 
169 0 0.01878 
170 0 0.01969 
171 0 0.02065 
172 0 0.56704 
173 0 0.58666 
174 1 0.61527 
175 1 0.64528 
176 1 0.68138 
177 1 0.72440 
178 1 0.74946 
179 1 0.78602 
180 1 0.82436 
181 0 0.02352 
182 0 0.02434 
183 0 0.02552 
184 0 0.02677 
185 0 0.02827 
186 0 0.03005 
187 0 0.03109 
188 0 0.03261 
189 0 0.03420 
190 0 0.01856 
191 0 0.01920 
192 0 0.02014 
193 0 0.02112 
194 0 0.02230 
195 0 0.02371 
196 0 0.02453 
197 0 0.02572 
198 0 0.02698 
199 0 0.59816 
200 0 0.61886 
201 1 0.64904 
202 1 0.68070 
203 1 0.71877 
204 1 0.76416 
205 1 0.79060 
206 1 0.82916 
207 1 0.86960 
208 0 0.01996 
209 0 0.02065 
210 0 0.02166 
211 0 0.02271 
212 0 0.02398 
213 0 0.02550 
214 0 0.02638 
215 0 0.02767 
216 0 0.02902 
217 0 0.50857 
218 0 0.52617 
219 0 0.55183 
220 1 0.57875 
221 1 0.61112 
222 1 0.64970 
223 1 0.67218 
224 1 0.70497 
225 1 0.73935 
226 0 0.02809 
227 0 0.02906 
228 0 0.03047 
229 0 0.03196 
230 0 0.03375 
231 0 0.03588 
232 0 0.03712 
233 0 0.03893 
234 0 0.04083 
235 0 0.59320 
236 0 0.61372 
237 1 0.64365 
238 1 0.67505 
239 1 0.71281 
240 1 0.75781 
241 1 0.78404 
242 1 0.82228 
243 1 0.86238 
244 0 0.02886 
245 0 0.02986 
246 0 0.03131 
247 0 0.03284 
248 0 0.03468 
249 0 0.03687 
250 0 0.03814 
251 0 0.04000 
252 0 0.04196 
253 0 0.59816 
254 0 0.61886 
255 1 0.64904 
256 1 0.68070 
257 1 0.71877 
258 1 0.76416 
259 1 0.79060 
260 1 0.82916 
261 1 0.86960 
262 0 1.21884 
263 0 1.26101 
264 2 1.32252 
265 2 1.38702 
266 2 1.46460 
267 2 1.55708 
268 2 1.61096 
269 2 1.68953 
270 2 1.77194 
271 1 0.77063 
272 1 0.79730 
273 1 0.83618 
274 1 0.87697 
275 1 0.92602 
276 1 0.98449 
277 1 1.01855 
278 1 1.06823 
279 1 1.12034 
280 0 0.02551 
281 0 0.02639 
282 0 0.02768 
283 0 0.02903 
284 0 0.03065 
285 0 0.03259 
286 0 0.03372 
287 0 0.03536 
288 0 0.03709 
289 2 2.67377 
290 2 2.76629 
291 2 2.90121 
292 4 3.04271 
293 4 3.21290 
294 4 3.41577 
295 4 3.53396 
296 4 3.70633 
297 4 3.88710 
298 0 0.50324 
299 0 0.52065 
300 0 0.54605 
301 1 0.57268 
302 1 0.60471 
303 1 0.64289 
304 1 0.66514 
305 1 0.69758 
306 1 0.73160 
307 0 0.02642 
308 0 0.02733 
309 0 0.02866 
310 0 0.03006 
311 0 0.03174 
312 0 0.03375 
313 0 0.03491 
314 0 0.03662 
315 0 0.03840 
316 0 0.02642 
317 0 0.02733 
318 0 0.02866 
319 0 0.03006 
320 0 0.03174 
321 0 0.03375 
322 0 0.03491 
323 0 0.03662 
324 0 0.03840 
325 0 0.02809 
326 0 0.02906 
327 0 0.03047 
328 0 0.03196 
329 0 0.03375 
330 0 0.03588 
331 0 0.03712 
332 0 0.03893 
333 0 0.04083 
334 0 0.02551 
335 0 0.02639 
336 0 0.02768 
337 0 0.02903 
338 0 0.03065 
339 0 0.03259 
340 0 0.03372 
341 0 0.03536 
342 0 0.03709 
343 0 0.02124 
344 0 0.02198 
345 0 0.02305 
346 0 0.02417 
347 0 0.02553 
348 0 0.02714 
349 0 0.02808 
350 0 0.02945 
351 0 0.03088 
352 0 0.02352 
353 0 0.02434 
354 0 0.02552 
355 0 0.02677 
356 0 0.02827 
357 0 0.03005 
358 0 0.03109 
359 0 0.03261 
360 0 0.03420 
361 1 0.83424 
362 1 0.86310 
363 1 0.90520 
364 1 0.94935 
365 1 1.00245 
366 1 1.06575 
367 1 1.10263 
368 1 1.15641 
369 1 1.21281 
370 1 1.45999 
371 1 1.51050 
372 2 1.58418 
373 2 1.66144 
374 2 1.75437 
375 2 1.86515 
376 2 1.92968 
377 2 2.02380 
378 2 2.12251 
379 3 2.45720 
380 3 2.54222 
381 3 2.66621 
382 3 2.79625 
383 3 2.95266 
384 3 3.13910 
385 3 3.24771 
386 3 3.40612 
387 3 3.57225 
388 2 1.64734 
389 2 1.70434 
390 2 1.78747 
391 2 1.87465 
392 2 1.97951 
393 2 2.10450 
394 2 2.17732 
395 2 2.28352 
396 2 2.39489 
397 0 0.05937 
398 0 0.06142 
399 0 0.06442 
400 0 0.06756 
401 0 0.07134 
402 0 0.07584 
403 0 0.07847 
404 0 0.08230 
405 0 0.08631 
406 4 3.91796 
407 4 4.05353 
408 5 4.25124 
409 5 4.45859 
410 5 4.70797 
411 5 5.00524 
412 5 5.17843 
413 5 5.43101 
414 5 5.69590 
415 3 2.45903 
416 3 2.54411 
417 3 2.66820 
418 3 2.79834 
419 3 2.95486 
420 3 3.14144 
421 3 3.25013 
422 3 3.40866 
423 3 3.57491 
424 2 2.27730 
425 2 2.35610 
426 3 2.47102 
427 3 2.59154 
428 3 2.73650 
429 3 2.90928 
430 3 3.00995 
431 3 3.15676 
432 3 3.31072 
433 0 0.56043 
434 0 0.57982 
435 0 0.60810 
436 1 0.63776 
437 1 0.67343 
438 1 0.71595 
439 1 0.74073 
440 1 0.77686 
441 1 0.81475 
442 2 1.65243 
443 2 1.70960 
444 2 1.79299 
445 2 1.88044 
446 2 1.98562 
447 2 2.11100 
448 2 2.18404 
449 2 2.29057 
450 2 2.40229 
451 0 0.54921 
452 0 0.56821 
453 0 0.59593 
454 1 0.62499 
455 1 0.65995 
456 1 0.70162 
457 1 0.72590 
458 1 0.76130 
459 1 0.79844 
460 4 3.25119 
461 4 3.36369 
462 4 3.52775 
463 4 3.69982 
464 4 3.90676 
465 4 4.15344 
466 4 4.29715 
467 4 4.50674 
468 4 4.72656 
469 3 3.08293 
470 3 3.18961 
471 4 3.34518 
472 4 3.50834 
473 4 3.70457 
474 4 3.93848 
475 4 4.07476 
476 4 4.27350 
477 4 4.48194 
478 1 1.42589 
479 1 1.47523 
480 2 1.54718 
481 2 1.62264 
482 2 1.71340 
483 2 1.82159 
484 2 1.88462 
485 2 1.97654 
486 2 2.07294 
487 2 2.26214 
488 2 2.34042 
489 3 2.45457 
490 3 2.57429 
491 3 2.71828 
492 3 2.88991 
493 3 2.98991 
494 3 3.13574 
495 3 3.28868 
496 0 0.05607 
497 0 0.05801 
498 0 0.06084 
499 0 0.06381 
500 0 0.06738 
501 0 0.07164 
502 0 0.07411 
503 0 0.07773 
504 0 0.08152 
505 2 2.26984 
506 2 2.34838 
507 3 2.46292 
508 3 2.58305 
509 3 2.72753 
510 3 2.89975 
511 3 3.00008 
512 3 3.14641 
513 3 3.29987 
514 2 1.63518 
515 2 1.69175 
516 2 1.77427 
517 2 1.86081 
518 2 1.96489 
519 2 2.08896 
520 2 2.16124 
521 2 2.26665 
522 2 2.37720 
523 0 0.06230 
524 0 0.06446 
525 0 0.06760 
526 0 0.07090 
527 0 0.07486 
528 0 0.07959 
529 0 0.08234 
530 0 0.08636 
531 0 0.09057 
532 0 0.05452 
533 0 0.05641 
534 0 0.05916 
535 0 0.06204 
536 0 0.06551 
537 0 0.06965 
538 0 0.07206 
539 0 0.07558 
540 0 0.07926 
